Image Index: ,Detector Type: ,Descriptor Type: ,Matcher Type: ,Selector Type: ,Detection timetaken: ,Total No. of detected points: ,Num. of Filtered points: ,Descriptor timetaken: ,Matcher timetaken: ,No. of Matched pairs: ,No. of Matched pairs in CurrBB in front: ,TTC Camera,TTC Lidar,
5,HARRIS,SIFT,MAT_BF,SEL_KNN,15.8155,913,0,25.7163,40.2971,526,51,11,16,
6,HARRIS,SIFT,MAT_BF,SEL_KNN,16.2547,1008,0,24.5063,41.5854,512,61,10,12,
7,HARRIS,SIFT,MAT_BF,SEL_KNN,17.6882,1149,0,25.6795,50.7842,581,83,10,34,
8,HARRIS,SIFT,MAT_BF,SEL_KNN,17.551,677,0,22.2411,35.2511,626,66,10,9,
9,HARRIS,SIFT,MAT_BF,SEL_KNN,18.1949,364,0,18.8228,12.7592,383,52,0,18,
10,HARRIS,SIFT,MAT_BF,SEL_KNN,17.2693,1028,0,24.1057,17.5921,197,23,10,18,
11,HARRIS,SIFT,MAT_BF,SEL_KNN,18.6109,466,0,22.3146,20.5496,531,59,10,3,
12,HARRIS,SIFT,MAT_BF,SEL_KNN,19.3904,581,0,23.8693,12.1384,314,37,11,-10,
13,HARRIS,SIFT,MAT_BF,SEL_KNN,18.6219,634,0,20.2062,18.4111,375,53,25,9,
14,HARRIS,SIFT,MAT_BF,SEL_KNN,17.6778,443,0,19.3966,13.7918,392,41,11,10,
15,HARRIS,SIFT,MAT_BF,SEL_KNN,17.7237,1082,0,24.0108,22.5661,298,34,11,8,
16,HARRIS,SIFT,MAT_BF,SEL_KNN,18.157,817,3,22.0979,39.882,669,55,8,3,
17,HARRIS,SIFT,MAT_BF,SEL_KNN,18.9105,340,0,17.8609,13.4259,405,48,11,-9,
18,HARRIS,SIFT,MAT_BF,SEL_KNN,18.9661,433,38,20.1719,6.43203,218,23,7,8,

0,FAST,BRISK,MAT_BF,SEL_KNN,3.05614,5275,0,55.6602,0,0,,,,
1,FAST,BRISK,MAT_BF,SEL_KNN,2.78066,5291,0,55.05,538.193,2268,145,12,12,
2,FAST,BRISK,MAT_BF,SEL_KNN,3.16112,5202,0,53.2843,525.905,2222,152,5,12,
3,FAST,BRISK,MAT_BF,SEL_KNN,2.83438,5090,0,52.7368,526.945,2186,164,66,13,
4,FAST,BRISK,MAT_BF,SEL_KNN,2.99951,5118,0,55.0233,511.749,2126,157,10,7,
5,FAST,BRISK,MAT_BF,SEL_KNN,2.79508,5180,0,53.0335,509.081,2235,138,8,16,
6,FAST,BRISK,MAT_BF,SEL_KNN,2.78205,5192,0,53.1339,505.961,2181,149,5,12,
7,FAST,BRISK,MAT_BF,SEL_KNN,2.81078,5177,0,54.2408,513.909,2041,161,12,34,
8,FAST,BRISK,MAT_BF,SEL_KNN,2.97742,5176,0,55.223,518.044,2156,146,51,9,
9,FAST,BRISK,MAT_BF,SEL_KNN,2.8682,5225,0,53.6867,512.672,2097,159,15,18,
10,FAST,BRISK,MAT_BF,SEL_KNN,3.05808,5331,0,56.9715,538.187,2143,169,15,18,
11,FAST,BRISK,MAT_BF,SEL_KNN,2.52689,5351,0,56.1444,553.297,2216,161,13,3,
12,FAST,BRISK,MAT_BF,SEL_KNN,2.91944,5244,0,56.0527,539.591,2248,185,7,-10,
13,FAST,BRISK,MAT_BF,SEL_KNN,2.50732,5231,0,55.6586,524.813,2192,202,16,9,
14,FAST,BRISK,MAT_BF,SEL_KNN,2.59623,5286,0,55.5893,533.224,2241,187,9,10,
15,FAST,BRISK,MAT_BF,SEL_KNN,2.52629,5464,0,61.8574,577.977,2349,175,13,8,
16,FAST,BRISK,MAT_BF,SEL_KNN,2.39399,5464,3,58.8407,580.664,2426,186,9,3,
17,FAST,BRISK,MAT_BF,SEL_KNN,2.39067,5563,0,61.555,591.823,2553,180,11,-9,
18,FAST,BRISK,MAT_BF,SEL_KNN,2.47867,5497,38,58.7887,586.882,2458,169,9,8,

